City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Caravelas,BR,-17.7125,-39.2481,67.73,97,100,2.3
1,Sainte-Maxime,FR,43.3,6.6333,51.93,96,100,8.81
2,Chuy,UY,-33.6971,-53.4616,58.96,69,1,10.6
3,Dikson,RU,73.5069,80.5464,9.57,94,100,20.54
4,Kamthi,IN,21.2333,79.2,71.94,50,19,4.29
5,North Myrtle Beach,US,33.816,-78.68,51.06,85,0,3.44
6,Bubaque,GW,11.2833,-15.8333,81.46,53,0,8.7
7,Punta Arenas,CL,-53.15,-70.9167,53.11,71,100,16.24
8,Cidreira,BR,-30.1811,-50.2056,70.14,90,65,1.36
9,Ostrovnoy,RU,68.0531,39.5131,14.97,88,84,27.83
10,Ribeira Grande,PT,38.5167,-28.7,61.77,94,100,21.0
11,Necochea,AR,-38.5473,-58.7368,53.85,80,0,9.89
12,Nevsehir,TR,38.9167,34.6667,47.41,87,75,2.3
13,Saurimo,AO,-9.6608,20.3916,62.28,97,100,2.66
14,Kumluca,TR,36.3703,30.2869,61.66,76,35,6.38
15,Grand Gaube,MU,-20.0064,57.6608,77.4,68,100,5.99
16,Qaanaaq,GL,77.484,-69.3632,15.42,70,100,7.56
17,Sinnamary,GF,5.3833,-52.95,75.63,90,85,7.65
18,Port Alfred,ZA,-33.5906,26.891,67.17,97,24,1.01
19,Richards Bay,ZA,-28.783,32.0377,73.09,97,67,4.59
20,Raga,SS,8.4596,25.678,66.72,25,0,4.45
21,Mondlo,ZA,-27.983,30.7177,61.14,92,60,2.51
22,Lagoa,PT,39.05,-27.9833,59.38,86,100,22.48
23,Tasiilaq,GL,65.6145,-37.6368,17.76,62,91,3.44
24,Sao Filipe,CV,14.8961,-24.4956,77.18,68,0,11.03
25,Sergeyevka,KZ,53.88,67.4158,-2.99,90,24,4.65
26,Laguna,US,38.421,-121.4238,47.1,84,0,3.44
27,Kouroussa,GN,10.65,-9.8833,69.49,22,0,2.71
28,Bereda,ES,43.2686,-7.5406,45.14,100,100,2.04
29,Nanortalik,GL,60.1432,-45.2371,20.48,78,37,3.74
30,Abay,KZ,49.6311,72.8539,-14.42,75,0,5.68
31,Coihaique,CL,-45.5752,-72.0662,50.61,81,0,3.44
32,Salvador,SV,13.8333,-88.9167,69.04,81,0,0.56
33,Opoczno,PL,51.3757,20.2783,22.91,93,100,10.04
34,Port Elizabeth,ZA,-33.918,25.5701,68.29,99,100,5.75
35,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,57,14.43
36,Vila Velha,BR,-20.3297,-40.2925,71.55,90,0,2.3
37,Castro,BR,-24.7911,-50.0119,56.77,75,1,2.98
38,Hattiesburg,US,31.3271,-89.2903,45.73,97,0,0.0
39,Ushuaia,AR,-54.8,-68.3,49.66,71,75,2.3
40,Tashara,RU,55.5195,83.5094,-10.41,96,78,3.74
